,Average,Minimum,Maximum,Date,Month,Year
0,21.65,17.88,26.299999999999997,1.0,1.0,1901.0
1,24.22,22.259999999999998,29.439999999999998,2.0,1.0,1901.0
2,21.02,18.56,24.04,3.0,1.0,1901.0
3,25.509999999999998,24.47,28.019999999999996,4.0,1.0,1901.0
4,23.88,21.77,28.759999999999998,5.0,1.0,1901.0
5,24.63,20.77,28.259999999999998,6.0,1.0,1901.0
6,26.39,24.25,29.78,7.0,1.0,1901.0
7,23.8,20.36,28.6,8.0,1.0,1901.0
8,23.17,21.150000000000002,26.340000000000003,9.0,1.0,1901.0
9,24.33,21.75,27.659999999999997,10.0,1.0,1901.0
10,24.07,22.38,26.14,11.0,1.0,1901.0
11,21.25,19.06,26.5,12.0,1.0,1901.0
12,25.11,21.79,30.22,13.0,1.0,1901.0
13,23.09,19.18,28.18,14.0,1.0,1901.0
14,23.21,21.86,25.42,15.0,1.0,1901.0
15,22.85,20.11,26.700000000000003,16.0,1.0,1901.0
16,26.03,24.400000000000002,30.060000000000002,17.0,1.0,1901.0
17,26.78,25.36,32.56,18.0,1.0,1901.0
18,21.77,20.43,26.54,19.0,1.0,1901.0
19,26.94,25.32,31.880000000000003,20.0,1.0,1901.0
20,23.73,21.64,26.46,21.0,1.0,1901.0
21,24.0,20.65,26.0,22.0,1.0,1901.0
22,25.990000000000002,24.03,28.980000000000004,23.0,1.0,1901.0
23,24.72,22.09,27.439999999999998,24.0,1.0,1901.0
24,21.54,17.98,26.08,25.0,1.0,1901.0
25,25.35,22.82,28.700000000000003,26.0,1.0,1901.0
26,26.69,24.32,31.380000000000003,27.0,1.0,1901.0
27,23.14,19.89,28.28,28.0,1.0,1901.0
28,22.33,20.049999999999997,26.659999999999997,29.0,1.0,1901.0
29,22.64,19.85,27.28,30.0,1.0,1901.0
30,25.15,21.169999999999998,27.299999999999997,31.0,1.0,1901.0
31,25.41,22.58,27.82,1.0,2.0,1901.0
32,28.54,27.419999999999998,32.08,2.0,2.0,1901.0
33,23.92,19.970000000000002,28.840000000000003,3.0,2.0,1901.0
34,23.34,20.17,26.68,4.0,2.0,1901.0
35,28.0,24.32,30.0,5.0,2.0,1901.0
36,25.14,21.4,29.28,6.0,2.0,1901.0
37,27.35,25.020000000000003,31.700000000000003,7.0,2.0,1901.0
38,25.87,23.84,29.740000000000002,8.0,2.0,1901.0
39,26.03,24.37,30.060000000000002,9.0,2.0,1901.0
40,26.89,25.16,32.78,10.0,2.0,1901.0
41,26.27,24.18,30.54,11.0,2.0,1901.0
42,26.15,22.82,28.299999999999997,12.0,2.0,1901.0
43,25.7,23.4,31.4,13.0,2.0,1901.0
44,25.22,24.09,28.439999999999998,14.0,2.0,1901.0
45,26.93,25.11,29.86,15.0,2.0,1901.0
46,26.759999999999998,25.659999999999997,29.519999999999996,16.0,2.0,1901.0
47,24.28,23.080000000000002,29.560000000000002,17.0,2.0,1901.0
48,28.42,26.98,31.840000000000003,18.0,2.0,1901.0
49,23.31,20.72,28.619999999999997,19.0,2.0,1901.0
50,23.21,20.53,25.42,20.0,2.0,1901.0
51,25.1,23.41,28.200000000000003,21.0,2.0,1901.0
